№,Code,Brow.,Chart,Applᵈ,Goog,Twtr.,One,FB,FBM,Sams.,Wind.,GMail,SB,DCM,KDDI,Name,Date,Keywords
544,U+1F645 U+1F3FB U+200D U+2640 U+FE0F,🙅🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing NO: light skin tone,2015,forbidden | gesture | hand | light skin tone | no | prohibited | woman
545,U+1F645 U+1F3FC U+200D U+2640 U+FE0F,🙅🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing NO: medium-light skin tone,2015,forbidden | gesture | hand | medium-light skin tone | no | prohibited | woman
546,U+1F645 U+1F3FD U+200D U+2640 U+FE0F,🙅🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing NO: medium skin tone,2015,forbidden | gesture | hand | medium skin tone | no | prohibited | woman
547,U+1F645 U+1F3FE U+200D U+2640 U+FE0F,🙅🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing NO: medium-dark skin tone,2015,forbidden | gesture | hand | medium-dark skin tone | no | prohibited | woman
548,U+1F645 U+1F3FF U+200D U+2640 U+FE0F,🙅🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing NO: dark skin tone,2015,dark skin tone | forbidden | gesture | hand | no | prohibited | woman
549,U+1F646,🙆,,,,,,,,,,,,—,,person gesturing OK,2010,gesture | hand | OK
550,U+1F646 U+1F3FB,🙆🏻,—,,,,,,,,,—,—,—,—,person gesturing OK: light skin tone,2015,gesture | hand | light skin tone | OK
551,U+1F646 U+1F3FC,🙆🏼,—,,,,,,,,,—,—,—,—,person gesturing OK: medium-light skin tone,2015,gesture | hand | medium-light skin tone | OK
552,U+1F646 U+1F3FD,🙆🏽,—,,,,,,,,,—,—,—,—,person gesturing OK: medium skin tone,2015,gesture | hand | medium skin tone | OK
553,U+1F646 U+1F3FE,🙆🏾,—,,,,,,,,,—,—,—,—,person gesturing OK: medium-dark skin tone,2015,gesture | hand | medium-dark skin tone | OK
554,U+1F646 U+1F3FF,🙆🏿,—,,,,,,,,,—,—,—,—,person gesturing OK: dark skin tone,2015,dark skin tone | gesture | hand | OK
555,U+1F646 U+200D U+2642 U+FE0F,🙆‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing OK,2010,gesture | hand | man | OK
556,U+1F646 U+1F3FB U+200D U+2642 U+FE0F,🙆🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing OK: light skin tone,2015,gesture | hand | light skin tone | man | OK
557,U+1F646 U+1F3FC U+200D U+2642 U+FE0F,🙆🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing OK: medium-light skin tone,2015,gesture | hand | man | medium-light skin tone | OK
558,U+1F646 U+1F3FD U+200D U+2642 U+FE0F,🙆🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing OK: medium skin tone,2015,gesture | hand | man | medium skin tone | OK
559,U+1F646 U+1F3FE U+200D U+2642 U+FE0F,🙆🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing OK: medium-dark skin tone,2015,gesture | hand | man | medium-dark skin tone | OK
560,U+1F646 U+1F3FF U+200D U+2642 U+FE0F,🙆🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man gesturing OK: dark skin tone,2015,dark skin tone | gesture | hand | man | OK
561,U+1F646 U+200D U+2640 U+FE0F,🙆‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing OK,2010,gesture | hand | OK | woman
562,U+1F646 U+1F3FB U+200D U+2640 U+FE0F,🙆🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing OK: light skin tone,2015,gesture | hand | light skin tone | OK | woman
563,U+1F646 U+1F3FC U+200D U+2640 U+FE0F,🙆🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing OK: medium-light skin tone,2015,gesture | hand | medium-light skin tone | OK | woman
564,U+1F646 U+1F3FD U+200D U+2640 U+FE0F,🙆🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing OK: medium skin tone,2015,gesture | hand | medium skin tone | OK | woman
565,U+1F646 U+1F3FE U+200D U+2640 U+FE0F,🙆🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing OK: medium-dark skin tone,2015,gesture | hand | medium-dark skin tone | OK | woman
566,U+1F646 U+1F3FF U+200D U+2640 U+FE0F,🙆🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman gesturing OK: dark skin tone,2015,dark skin tone | gesture | hand | OK | woman
567,U+1F481,💁,,,,,,,,,,,,—,—,person tipping hand,2010,hand | help | information | sassy | tipping
568,U+1F481 U+1F3FB,💁🏻,—,,,,,,,,,—,—,—,—,person tipping hand: light skin tone,2015,hand | help | information | light skin tone | sassy | tipping
569,U+1F481 U+1F3FC,💁🏼,—,,,,,,,,,—,—,—,—,person tipping hand: medium-light skin tone,2015,hand | help | information | medium-light skin tone | sassy | tipping
570,U+1F481 U+1F3FD,💁🏽,—,,,,,,,,,—,—,—,—,person tipping hand: medium skin tone,2015,hand | help | information | medium skin tone | sassy | tipping
571,U+1F481 U+1F3FE,💁🏾,—,,,,,,,,,—,—,—,—,person tipping hand: medium-dark skin tone,2015,hand | help | information | medium-dark skin tone | sassy | tipping
572,U+1F481 U+1F3FF,💁🏿,—,,,,,,,,,—,—,—,—,person tipping hand: dark skin tone,2015,dark skin tone | hand | help | information | sassy | tipping
573,U+1F481 U+200D U+2642 U+FE0F,💁‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man tipping hand,2010,man | sassy | tipping hand
574,U+1F481 U+1F3FB U+200D U+2642 U+FE0F,💁🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man tipping hand: light skin tone,2015,light skin tone | man | sassy | tipping hand
575,U+1F481 U+1F3FC U+200D U+2642 U+FE0F,💁🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man tipping hand: medium-light skin tone,2015,man | medium-light skin tone | sassy | tipping hand
576,U+1F481 U+1F3FD U+200D U+2642 U+FE0F,💁🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man tipping hand: medium skin tone,2015,man | medium skin tone | sassy | tipping hand
577,U+1F481 U+1F3FE U+200D U+2642 U+FE0F,💁🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man tipping hand: medium-dark skin tone,2015,man | medium-dark skin tone | sassy | tipping hand
578,U+1F481 U+1F3FF U+200D U+2642 U+FE0F,💁🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man tipping hand: dark skin tone,2015,dark skin tone | man | sassy | tipping hand
579,U+1F481 U+200D U+2640 U+FE0F,💁‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman tipping hand,2010,sassy | tipping hand | woman
580,U+1F481 U+1F3FB U+200D U+2640 U+FE0F,💁🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman tipping hand: light skin tone,2015,light skin tone | sassy | tipping hand | woman
581,U+1F481 U+1F3FC U+200D U+2640 U+FE0F,💁🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman tipping hand: medium-light skin tone,2015,medium-light skin tone | sassy | tipping hand | woman
582,U+1F481 U+1F3FD U+200D U+2640 U+FE0F,💁🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman tipping hand: medium skin tone,2015,medium skin tone | sassy | tipping hand | woman
583,U+1F481 U+1F3FE U+200D U+2640 U+FE0F,💁🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman tipping hand: medium-dark skin tone,2015,medium-dark skin tone | sassy | tipping hand | woman
584,U+1F481 U+1F3FF U+200D U+2640 U+FE0F,💁🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman tipping hand: dark skin tone,2015,dark skin tone | sassy | tipping hand | woman
585,U+1F64B,🙋,,,,,,,,,,,—,—,,person raising hand,2010,gesture | hand | happy | raised
586,U+1F64B U+1F3FB,🙋🏻,—,,,,,,,,,—,—,—,—,person raising hand: light skin tone,2015,gesture | hand | happy | light skin tone | raised
587,U+1F64B U+1F3FC,🙋🏼,—,,,,,,,,,—,—,—,—,person raising hand: medium-light skin tone,2015,gesture | hand | happy | medium-light skin tone | raised
588,U+1F64B U+1F3FD,🙋🏽,—,,,,,,,,,—,—,—,—,person raising hand: medium skin tone,2015,gesture | hand | happy | medium skin tone | raised
589,U+1F64B U+1F3FE,🙋🏾,—,,,,,,,,,—,—,—,—,person raising hand: medium-dark skin tone,2015,gesture | hand | happy | medium-dark skin tone | raised
590,U+1F64B U+1F3FF,🙋🏿,—,,,,,,,,,—,—,—,—,person raising hand: dark skin tone,2015,dark skin tone | gesture | hand | happy | raised
591,U+1F64B U+200D U+2642 U+FE0F,🙋‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man raising hand,2010,gesture | man | raising hand
592,U+1F64B U+1F3FB U+200D U+2642 U+FE0F,🙋🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man raising hand: light skin tone,2015,gesture | light skin tone | man | raising hand
593,U+1F64B U+1F3FC U+200D U+2642 U+FE0F,🙋🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man raising hand: medium-light skin tone,2015,gesture | man | medium-light skin tone | raising hand
594,U+1F64B U+1F3FD U+200D U+2642 U+FE0F,🙋🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man raising hand: medium skin tone,2015,gesture | man | medium skin tone | raising hand
595,U+1F64B U+1F3FE U+200D U+2642 U+FE0F,🙋🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man raising hand: medium-dark skin tone,2015,gesture | man | medium-dark skin tone | raising hand
596,U+1F64B U+1F3FF U+200D U+2642 U+FE0F,🙋🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man raising hand: dark skin tone,2015,dark skin tone | gesture | man | raising hand
597,U+1F64B U+200D U+2640 U+FE0F,🙋‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman raising hand,2010,gesture | raising hand | woman
598,U+1F64B U+1F3FB U+200D U+2640 U+FE0F,🙋🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman raising hand: light skin tone,2015,gesture | light skin tone | raising hand | woman
599,U+1F64B U+1F3FC U+200D U+2640 U+FE0F,🙋🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman raising hand: medium-light skin tone,2015,gesture | medium-light skin tone | raising hand | woman
600,U+1F64B U+1F3FD U+200D U+2640 U+FE0F,🙋🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman raising hand: medium skin tone,2015,gesture | medium skin tone | raising hand | woman
601,U+1F64B U+1F3FE U+200D U+2640 U+FE0F,🙋🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman raising hand: medium-dark skin tone,2015,gesture | medium-dark skin tone | raising hand | woman
602,U+1F64B U+1F3FF U+200D U+2640 U+FE0F,🙋🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman raising hand: dark skin tone,2015,dark skin tone | gesture | raising hand | woman
603,U+1F647,🙇,,,,,,—,,,,,,—,,person bowing,2010,apology | bow | gesture | sorry
604,U+1F647 U+1F3FB,🙇🏻,—,,,,,—,,,,—,—,—,—,person bowing: light skin tone,2015,apology | bow | gesture | light skin tone | sorry
605,U+1F647 U+1F3FC,🙇🏼,—,,,,,—,,,,—,—,—,—,person bowing: medium-light skin tone,2015,apology | bow | gesture | medium-light skin tone | sorry
606,U+1F647 U+1F3FD,🙇🏽,—,,,,,—,,,,—,—,—,—,person bowing: medium skin tone,2015,apology | bow | gesture | medium skin tone | sorry
607,U+1F647 U+1F3FE,🙇🏾,—,,,,,—,,,,—,—,—,—,person bowing: medium-dark skin tone,2015,apology | bow | gesture | medium-dark skin tone | sorry
608,U+1F647 U+1F3FF,🙇🏿,—,,,,,—,,,,—,—,—,—,person bowing: dark skin tone,2015,apology | bow | dark skin tone | gesture | sorry
609,U+1F647 U+200D U+2642 U+FE0F,🙇‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man bowing,2010,apology | bowing | favor | gesture | man | sorry
610,U+1F647 U+1F3FB U+200D U+2642 U+FE0F,🙇🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man bowing: light skin tone,2015,apology | bowing | favor | gesture | light skin tone | man | sorry
611,U+1F647 U+1F3FC U+200D U+2642 U+FE0F,🙇🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man bowing: medium-light skin tone,2015,apology | bowing | favor | gesture | man | medium-light skin tone | sorry
612,U+1F647 U+1F3FD U+200D U+2642 U+FE0F,🙇🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man bowing: medium skin tone,2015,apology | bowing | favor | gesture | man | medium skin tone | sorry
613,U+1F647 U+1F3FE U+200D U+2642 U+FE0F,🙇🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man bowing: medium-dark skin tone,2015,apology | bowing | favor | gesture | man | medium-dark skin tone | sorry
614,U+1F647 U+1F3FF U+200D U+2642 U+FE0F,🙇🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man bowing: dark skin tone,2015,apology | bowing | dark skin tone | favor | gesture | man | sorry
615,U+1F647 U+200D U+2640 U+FE0F,🙇‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman bowing,2010,apology | bowing | favor | gesture | sorry | woman
616,U+1F647 U+1F3FB U+200D U+2640 U+FE0F,🙇🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman bowing: light skin tone,2015,apology | bowing | favor | gesture | light skin tone | sorry | woman
617,U+1F647 U+1F3FC U+200D U+2640 U+FE0F,🙇🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman bowing: medium-light skin tone,2015,apology | bowing | favor | gesture | medium-light skin tone | sorry | woman
618,U+1F647 U+1F3FD U+200D U+2640 U+FE0F,🙇🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman bowing: medium skin tone,2015,apology | bowing | favor | gesture | medium skin tone | sorry | woman
619,U+1F647 U+1F3FE U+200D U+2640 U+FE0F,🙇🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman bowing: medium-dark skin tone,2015,apology | bowing | favor | gesture | medium-dark skin tone | sorry | woman
620,U+1F647 U+1F3FF U+200D U+2640 U+FE0F,🙇🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman bowing: dark skin tone,2015,apology | bowing | dark skin tone | favor | gesture | sorry | woman
621,U+1F926,🤦,,,,,,—,—,,,—,—,—,—,person facepalming,2016,disbelief | exasperation | face | palm
622,U+1F926 U+1F3FB,🤦🏻,—,,,,,—,—,,,—,—,—,—,person facepalming: light skin tone,2016,disbelief | exasperation | face | light skin tone | palm
623,U+1F926 U+1F3FC,🤦🏼,—,,,,,—,—,,,—,—,—,—,person facepalming: medium-light skin tone,2016,disbelief | exasperation | face | medium-light skin tone | palm
624,U+1F926 U+1F3FD,🤦🏽,—,,,,,—,—,,,—,—,—,—,person facepalming: medium skin tone,2016,disbelief | exasperation | face | medium skin tone | palm
625,U+1F926 U+1F3FE,🤦🏾,—,,,,,—,—,,,—,—,—,—,person facepalming: medium-dark skin tone,2016,disbelief | exasperation | face | medium-dark skin tone | palm
626,U+1F926 U+1F3FF,🤦🏿,—,,,,,—,—,,,—,—,—,—,person facepalming: dark skin tone,2016,dark skin tone | disbelief | exasperation | face | palm
627,U+1F926 U+200D U+2642 U+FE0F,🤦‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man facepalming,2016,disbelief | exasperation | facepalm | man
628,U+1F926 U+1F3FB U+200D U+2642 U+FE0F,🤦🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man facepalming: light skin tone,2016,disbelief | exasperation | facepalm | light skin tone | man
629,U+1F926 U+1F3FC U+200D U+2642 U+FE0F,🤦🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man facepalming: medium-light skin tone,2016,disbelief | exasperation | facepalm | man | medium-light skin tone
630,U+1F926 U+1F3FD U+200D U+2642 U+FE0F,🤦🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man facepalming: medium skin tone,2016,disbelief | exasperation | facepalm | man | medium skin tone
631,U+1F926 U+1F3FE U+200D U+2642 U+FE0F,🤦🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man facepalming: medium-dark skin tone,2016,disbelief | exasperation | facepalm | man | medium-dark skin tone
632,U+1F926 U+1F3FF U+200D U+2642 U+FE0F,🤦🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man facepalming: dark skin tone,2016,dark skin tone | disbelief | exasperation | facepalm | man
633,U+1F926 U+200D U+2640 U+FE0F,🤦‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman facepalming,2016,disbelief | exasperation | facepalm | woman
634,U+1F926 U+1F3FB U+200D U+2640 U+FE0F,🤦🏻‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman facepalming: light skin tone,2016,disbelief | exasperation | facepalm | light skin tone | woman
635,U+1F926 U+1F3FC U+200D U+2640 U+FE0F,🤦🏼‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman facepalming: medium-light skin tone,2016,disbelief | exasperation | facepalm | medium-light skin tone | woman
636,U+1F926 U+1F3FD U+200D U+2640 U+FE0F,🤦🏽‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman facepalming: medium skin tone,2016,disbelief | exasperation | facepalm | medium skin tone | woman
637,U+1F926 U+1F3FE U+200D U+2640 U+FE0F,🤦🏾‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman facepalming: medium-dark skin tone,2016,disbelief | exasperation | facepalm | medium-dark skin tone | woman
638,U+1F926 U+1F3FF U+200D U+2640 U+FE0F,🤦🏿‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman facepalming: dark skin tone,2016,dark skin tone | disbelief | exasperation | facepalm | woman
639,U+1F937,🤷,,,,,,—,—,,,—,—,—,—,person shrugging,2016,doubt | ignorance | indifference | shrug
640,U+1F937 U+1F3FB,🤷🏻,—,,,,,—,—,,,—,—,—,—,person shrugging: light skin tone,2016,doubt | ignorance | indifference | light skin tone | shrug
641,U+1F937 U+1F3FC,🤷🏼,—,,,,,—,—,,,—,—,—,—,person shrugging: medium-light skin tone,2016,doubt | ignorance | indifference | medium-light skin tone | shrug
642,U+1F937 U+1F3FD,🤷🏽,—,,,,,—,—,,,—,—,—,—,person shrugging: medium skin tone,2016,doubt | ignorance | indifference | medium skin tone | shrug
643,U+1F937 U+1F3FE,🤷🏾,—,,,,,—,—,,,—,—,—,—,person shrugging: medium-dark skin tone,2016,doubt | ignorance | indifference | medium-dark skin tone | shrug
644,U+1F937 U+1F3FF,🤷🏿,—,,,,,—,—,,,—,—,—,—,person shrugging: dark skin tone,2016,dark skin tone | doubt | ignorance | indifference | shrug
645,U+1F937 U+200D U+2642 U+FE0F,🤷‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man shrugging,2016,doubt | ignorance | indifference | man | shrug
646,U+1F937 U+1F3FB U+200D U+2642 U+FE0F,🤷🏻‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man shrugging: light skin tone,2016,doubt | ignorance | indifference | light skin tone | man | shrug
647,U+1F937 U+1F3FC U+200D U+2642 U+FE0F,🤷🏼‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man shrugging: medium-light skin tone,2016,doubt | ignorance | indifference | man | medium-light skin tone | shrug
648,U+1F937 U+1F3FD U+200D U+2642 U+FE0F,🤷🏽‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man shrugging: medium skin tone,2016,doubt | ignorance | indifference | man | medium skin tone | shrug
649,U+1F937 U+1F3FE U+200D U+2642 U+FE0F,🤷🏾‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man shrugging: medium-dark skin tone,2016,doubt | ignorance | indifference | man | medium-dark skin tone | shrug
650,U+1F937 U+1F3FF U+200D U+2642 U+FE0F,🤷🏿‍♂️,—,,,,—,—,—,—,—,—,—,—,—,man shrugging: dark skin tone,2016,dark skin tone | doubt | ignorance | indifference | man | shrug
651,U+1F937 U+200D U+2640 U+FE0F,🤷‍♀️,—,,,,—,—,—,—,—,—,—,—,—,woman shrugging,2016,doubt | ignorance | indifference | shrug | woman
